sup_uniqueid,lt_rank,lt_dept,lt_suprank,lt_supdept,stlt_uniqueid,lt_deptid,lt_politics,lt_education,lt_age,lt_male,lt_white,lt_tenure,lt_socialdominance1,lt_socialdominance2,lt_socialdominance3,lt_socialdominance4,lt_socialdominance5,lt_socialdominance6,lt_socialdominance7,lt_selfevaluation1,lt_selfevaluation2,lt_selfevaluation3,lt_selfevaluation4,lt_selfevaluation5,lt_selfevaluation6,lt_selfevaluation7,lt_selfevaluation8,lt_selfevaluation9,lt_selfevaluation10,lt_selfevaluation11,lt_selfevaluation12,lt_fto_intfair1,lt_fto_intfair2,lt_fto_intfair3,lt_fto_intfair4,lt_fto_intfar5,lt_fto_intfair6,lt_fto_understoodneeds,lt_ftogender,lt_ftowhite,lt_orgfair1,lt_orgfair2,lt_orgfair3,lt_orgfair4,lt_orgfair5,lt_servlead1,lt_servlead2,lt_servlead3,lt_servlead4,lt_servlead5,lt_servlead6,lt_servlead7,lt_psm5,lt_occid2,lt_psm1,lt_occid1,lt_occid3,lt_psm2,lt_occid4,lt_psm4,lt_psm3,lt_supethguid1,lt_supethguid2,lt_supethguid3,lt_supethguid4,lt_supethguid5,lt_strenuousexerciseweekly,lt_moderateexerciseweekly,lt_mildexerciseweekly,lt_intfair1,lt_intfair2,lt_intfair3,lt_intfair4,lt_intfair5,lt_intfair6,lt_diversityclimate1,lt_diversityclimate2,lt_diversityclimate3,lt_diversityclimate4,lt_diversityclimate5,lt_leaderintegrity1,lt_leaderintegrity2,lt_leaderintegrity3,lt_leaderintegrity4,lt_commdiversity1,lt_commdiversity2,lt_commdiversity3,lt_commdiversity4,lt_commdiversity5,lt_monitored1,lt_monitored2,lt_monitored3,lt_monitored4,lt_monitored5,lt_contactpressure,lt_arrestpressure,lt_policeasproblem,lt_publicagree,lt_publictruth,lt_publichideinfo,lt_homesafe,lt_familyconcern,lt_physicalharm,lt_legalliability,lt_verbalconfrontation,stlt_deptid,stlt_male,stlt_white,stlt_tenure,stlt_politics,stlt_education,stlt_age,stlt_socialdominance1,stlt_socialdominance2,stlt_socialdominance3,stlt_socialdominance4,stlt_socialdominance5,stlt_socialdominance6,stlt_socialdominance7,stlt_selfevaluation1,stlt_selfevaluation2,stlt_selfevaluation3,stlt_selfevaluation4,stlt_selfevaluation5,stlt_selfevaluation6,stlt_selfevaluation7,stlt_selfevaluation8,stlt_selfevaluation9,stlt_selfevaluation10,stlt_selfevaluation11,stlt_selfevaluation12,stlt_fto_intfair1,stlt_fto_intfair2,stlt_fto_intfair3,stlt_fto_intfair4,stlt_fto_intfar5,stlt_fto_intfair6,stlt_fto_understoodneeds,stlt_ftogender,stlt_ftowhite,stlt_orgfair1,stlt_orgfair2,stlt_orgfair3,stlt_orgfair4,stlt_orgfair5,stlt_servlead1,stlt_servlead2,stlt_servlead3,stlt_servlead4,stlt_servlead5,stlt_servlead6,stlt_servlead7,stlt_psm5,stlt_occid2,stlt_psm1,stlt_occid1,stlt_occid3,stlt_psm2,stlt_occid4,stlt_psm4,stlt_psm3,stlt_supethguid1,stlt_supethguid2,stlt_supethguid3,stlt_supethguid4,stlt_supethguid5,stlt_strenuousexerciseweekly,stlt_moderateexerciseweekly,stlt_mildexerciseweekly,stlt_intfair1,stlt_intfair2,stlt_intfair3,stlt_intfair4,stlt_intfair5,stlt_intfair6,stlt_diversityclimate1,stlt_diversityclimate2,stlt_diversityclimate3,stlt_diversityclimate4,stlt_diversityclimate5,stlt_leaderintegrity1,stlt_leaderintegrity2,stlt_leaderintegrity3,stlt_leaderintegrity4,stlt_commdiversity1,stlt_commdiversity2,stlt_commdiversity3,stlt_commdiversity4,stlt_commdiversity5,stlt_monitored1,stlt_monitored2,stlt_monitored3,stlt_monitored4,stlt_monitored5,stlt_contactpressure,stlt_arrestpressure,stlt_policeasproblem,stlt_publicagree,stlt_publictruth,stlt_publichideinfo,stlt_homesafe,stlt_familyconcern,stlt_physicalharm,stlt_legalliability,stlt_verbalconfrontation
1626_599_44,Lieutenant,D2Post51Marion,Staff Lieutenant,District 2 Headquarters,3170_533_152,44,2,4,49,1,1,22,4,1,4,4,3,4,3,4,3,4,2,4,3,4,2,4,3,4,2,5,4,4,5,4,4,5,2,473,1,2,4,2,1,2,4,2,2,4,2,3,3,3,5,4,4,4,4,4,4,2,2,3,4,4,3,0,2,3,2,2,3,3,2,4,1,4,4,3,3,3,4,4,3,2,4,3,2,3,4,4,5,2,2,2,4,3,2,4,2,3,2,3,5,152,1,1,28,1,4,54,3,1,4,4,2,2,4,4,1,5,2,5,2,5,1,5,1,5,1,4,3,3,4,5,5,5,2,474,4,4,4,4,4,4,3,4,4,4,4,5,3,4,4,3,4,4,3,3,4,3,3,4,4,4,0,5,0,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,3,3,3,3,3,5,4,5,2,3,2,4,2,4,2,2,2,3,3,3
1639_599_45,Lieutenant,D2Post70Mansfield,Staff Lieutenant,District 2 Headquarters,3170_533_152,45,2,2,42,0,1,17,3,3,4,4,4,3,4,3,2,4,2,4,4,4,2,4,2,4,2,4,4,4,4,4,4,4,2,473,3,3,4,3,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,2,2,2,3,3,3,2,2,4,2,2,4,3,3,3,3,3,4,2,4,4,4,3,4,4,4,3,5,5,3,3,3,3,3,4,3,4,4,152,1,1,28,1,4,54,3,1,4,4,2,2,4,4,1,5,2,5,2,5,1,5,1,5,1,4,3,3,4,5,5,5,2,474,4,4,4,4,4,4,3,4,4,4,4,5,3,4,4,3,4,4,3,3,4,3,3,4,4,4,0,5,0,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,3,3,3,3,3,5,4,5,2,3,2,4,2,4,2,2,2,3,3,3
1659_414_46,Lieutenant,D2Post72Fremont,Staff Lieutenant,District 2 Headquarters,3167_533_152,46,2,2,48,1,1,27,1,1,5,4,4,2,4,3,4,4,3,5,3,4,3,4,4,4,2,5,5,5,5,5,5,5,2,473,2,4,4,4,2,2,4,3,3,4,3,4,4,4,4,4,3,4,5,4,4,3,4,4,4,4,0,3,3,4,5,5,4,4,4,4,1,2,3,3,3,3,3,3,4,3,4,4,3,4,4,4,4,4,4,4,5,3,4,2,3,4,3,4,4,152,1,1,25,1,4,46,2,2,5,3,1,4,2,4,3,4,2,4,2,4,1,4,2,4,1,4,3,3,5,5,4,4,2,473,3,2,5,2,3,2,3,3,3,1,3,4,3,4,4,4,5,4,4,4,5,1,1,1,1,1,0,0,1,2,3,3,2,3,2,5,1,4,4,5,3,3,3,2,3,3,2,3,3,2,4,1,1,1,2,4,5,4,2,4,1,2,3,2,2
1685_414_47,Lieutenant,D2Post90Milan,Staff Lieutenant,District 2 Headquarters,3167_533_152,47,2,4,43,1,1,21,3,2,4,5,2,3,4,4,4,4,2,3,4,4,3,3,2,4,2,4,3,4,4,4,4,3,2,473,1,3,2,4,1,3,3,4,3,4,4,4,3,4,4,4,4,4,3,4,4,2,3,3,3,3,0,1,5,2,3,3,4,3,4,4,2,4,4,3,3,3,3,3,4,2,3,3,3,3,4,3,3,3,4,4,2,4,4,2,3,4,3,5,3,152,1,1,25,1,4,46,2,2,5,3,1,4,2,4,3,4,2,4,2,4,1,4,2,4,1,4,3,3,5,5,4,4,2,473,3,2,5,2,3,2,3,3,3,1,3,4,3,4,4,4,5,4,4,4,5,1,1,1,1,1,0,0,1,2,3,3,2,3,2,5,1,4,4,5,3,3,3,2,3,3,2,3,3,2,4,1,1,1,2,4,5,4,2,4,1,2,3,2,2
1753_496_52,Lieutenant,D3CommercialEnforcement,Staff Lieutenant,Licensing Commercial Std,3369_306_169,52,2,5,39,1,1,16,3,1,5,5,4,4,2,4,4,4,1,4,4,4,2,4,2,4,2,5,4,5,5,5,5,4,2,473,1,2,2,4,1,4,4,4,5,3,4,5,4,4,5,5,4,4,3,5,4,3,3,4,4,3,3,NA,7,3,5,4,5,5,5,5,1,4,3,3,4,4,4,5,4,2,4,4,3,3,3,3,3,3,4,2,4,2,4,2,1,3,3,5,4,169,1,0,29,1,2,47,1,1,4,4,3,3,3,4,3,4,2,4,3,4,2,4,2,4,1,5,4,4,5,5,5,5,2,473,2,2,2,2,1,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,6,NA,NA,4,4,4,5,5,5,4,2,4,3,3,5,4,4,4,4,2,3,3,3,4,4,4,4,4,3,2,4,3,4,2,5,5,2,5,4
1761_439_53,Lieutenant,D3CriminalPatrol,Staff Lieutenant,Criminal Patrol,1264_458_18,53,1,3,40,1,1,18,2,1,4,4,2,2,3,3,2,5,2,4,2,4,1,4,2,4,1,4,3,4,4,4,4,4,2,473,2,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,3,4,4,4,4,4,1,0,4,4,4,4,4,4,5,1,5,4,4,4,4,4,4,4,2,3,3,3,4,4,4,4,4,2,2,3,4,3,3,4,4,2,4,4,18,1,1,19,1,3,40,1,1,5,5,1,1,5,5,NA,2,3,4,3,4,2,4,2,4,2,5,5,5,5,5,5,5,2,473,2,2,2,4,1,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,1,1,3,3,4,4,4,3,5,1,5,5,5,4,4,4,4,5,1,4,5,5,4,4,4,4,4,3,3,4,4,4,2,1,2,2,3,3
1779_345_55,Lieutenant,D3Investigations,Staff Lieutenant,OFFICE INVESTIGATIVE SERVS,3372_445_170,55,2,5,55,1,0,22,2,1,2,4,2,2,4,4,4,5,2,4,4,2,2,4,2,4,2,4,5,4,4,5,5,5,2,473,4,3,1,2,3,2,2,2,2,4,4,4,2,2,4,4,4,4,4,4,4,1,1,2,2,2,1,1,1,4,4,4,3,4,4,4,2,2,4,2,4,3,3,4,4,2,4,4,4,1,2,2,2,2,5,5,3,3,3,3,4,4,5,5,4,170,1,1,27,1,4,47,3,2,4,4,4,4,3,4,4,4,2,4,4,4,1,4,4,4,2,4,3,4,4,4,5,4,2,473,1,1,1,2,1,3,2,4,3,4,2,4,3,4,3,4,4,4,4,4,3,2,2,2,4,3,1,2,1,4,4,4,4,4,4,5,2,4,3,3,4,4,4,4,4,2,3,2,2,2,2,2,2,1,2,1,4,2,3,3,2,2,2,5,2
1798_378_57,Lieutenant,D3Post18Cleveland,Staff Lieutenant,District 3 Headquarters,3171_613_153,57,1,2,41,1,1,21,2,1,4,2,4,2,4,3,4,4,2,4,4,4,2,3,4,4,2,2,2,2,4,3,2,3,2,473,1,1,2,2,1,3,2,3,3,2,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,4,NA,2,2,2,4,2,4,5,1,5,5,3,4,4,4,4,3,3,3,3,3,3,4,2,4,2,3,3,4,4,3,3,2,2,2,4,2,153,1,1,27,1,1,46,3,2,4,4,3,3,4,4,4,4,4,4,2,4,3,3,2,3,2,4,3,3,4,4,4,3,2,473,2,3,2,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,3,4,4,4,5,1,0,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,3,4,3,3,4,4,4,4,4,3,3,2,3,4,2,3,3,3,3,4
1828_378_58,Lieutenant,D3Post3Ashland,Staff Lieutenant,District 3 Headquarters,3171_613_153,58,2,5,50,1,0,30,3,1,5,5,1,2,5,2,4,3,4,4,3,4,2,5,4,5,2,3,3,3,3,3,2,3,2,473,4,2,2,1,2,2,2,1,1,4,2,1,2,4,4,3,2,5,2,5,5,2,1,2,2,3,3,NA,NA,2,1,2,1,2,1,4,4,4,3,1,3,2,2,1,4,4,3,4,2,2,2,2,2,3,2,4,2,3,4,4,2,3,2,4,3,153,1,1,27,1,1,46,3,2,4,4,3,3,4,4,4,4,4,4,2,4,3,3,2,3,2,4,3,3,4,4,4,3,2,473,2,3,2,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,3,4,4,4,5,1,0,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,3,4,3,3,4,4,4,4,4,3,3,2,3,4,2,3,3,3,3,4
1863_378_59,Lieutenant,D3Post47Elyria,Staff Lieutenant,District 3 Headquarters,3171_613_153,59,2,4,45,1,0,21,1,1,5,5,1,1,5,1,4,4,3,5,5,4,2,4,5,4,2,3,2,2,1,2,1,3,2,473,1,1,1,2,5,2,3,4,2,3,3,4,4,5,5,4,4,4,4,5,5,2,1,4,4,3,4,2,3,2,1,1,1,3,1,2,4,2,2,1,2,3,3,3,3,4,3,3,2,3,5,4,4,3,4,5,3,3,4,4,4,5,2,5,4,153,1,1,27,1,1,46,3,2,4,4,3,3,4,4,4,4,4,4,2,4,3,3,2,3,2,4,3,3,4,4,4,3,2,473,2,3,2,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,3,4,4,4,5,1,0,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,3,4,3,3,4,4,4,4,4,3,3,2,3,4,2,3,3,3,3,4
1882_378_60,Lieutenant,D3Post52Medina,Staff Lieutenant,District 3 Headquarters,3171_613_153,60,1,5,48,1,1,22,1,2,5,1,1,5,4,3,3,3,4,4,2,4,2,4,4,4,2,2,2,2,2,2,1,2,2,473,2,2,2,4,3,1,4,2,1,2,3,3,3,4,5,5,5,4,4,4,4,3,3,4,4,4,3,1,2,1,2,2,2,2,2,5,1,4,4,4,3,3,3,2,3,3,3,3,3,3,4,4,4,4,5,5,2,2,3,4,3,2,2,3,3,153,1,1,27,1,1,46,3,2,4,4,3,3,4,4,4,4,4,4,2,4,3,3,2,3,2,4,3,3,4,4,4,3,2,473,2,3,2,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,3,4,4,4,5,1,0,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,3,4,3,3,4,4,4,4,4,3,3,2,3,4,2,3,3,3,3,4
1905_423_61,Lieutenant,D3Post76Canton,Staff Lieutenant,District 3 Headquarters,3173_613_153,61,1,3,47,1,1,27,4,4,5,4,4,4,4,4,4,4,3,4,4,4,2,3,3,4,1,5,3,3,4,4,4,3,2,473,5,4,2,5,3,2,1,3,3,4,3,2,4,4,4,5,5,4,4,4,3,3,3,3,3,4,4,0,0,3,4,3,4,3,4,5,1,4,3,3,4,4,4,4,4,2,4,4,3,3,4,4,3,2,4,4,4,4,3,3,2,4,3,4,4,153,1,1,26,2,2,45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,474,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1924_423_62,Lieutenant,D3Post77Akron,Staff Lieutenant,District 3 Headquarters,3173_613_153,62,2,3,49,1,0,28,3,2,4,4,2,4,4,3,4,4,2,5,4,5,2,4,2,4,4,4,4,4,4,4,4,4,2,473,2,2,3,3,2,2,2,2,2,4,4,3,4,4,5,5,5,5,4,5,5,2,2,2,3,3,4,3,NA,3,3,2,3,2,2,4,3,4,4,3,2,2,2,3,4,3,3,3,3,2,4,4,4,2,5,5,4,2,3,3,5,5,5,5,4,153,1,1,26,2,2,45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,474,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1943_423_63,Lieutenant,D3Post85Wooster,Staff Lieutenant,District 3 Headquarters,3173_613_153,63,2,2,49,0,1,25,3,2,4,4,3,2,3,3,3,3,3,4,3,4,3,3,3,4,2,4,4,4,4,4,4,4,2,473,3,3,2,4,2,4,3,3,3,5,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1,4,4,3,3,4,4,4,4,4,2,3,4,4,4,4,4,4,4,2,4,4,4,3,5,4,4,4,3,2,4,2,2,4,1,3,3,5,2,153,1,1,26,2,2,45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,474,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
1984_496_66,Lieutenant,D4CommercialEnforcement,Staff Lieutenant,Licensing Commercial Std,3369_306_169,66,1,4,48,1,1,26,1,1,5,5,4,4,2,4,3,4,2,4,2,4,2,4,2,4,2,5,5,5,5,5,5,5,2,473,2,2,3,4,2,3,3,2,4,4,3,5,5,5,5,3,5,4,4,4,4,3,4,4,4,4,3,2,1,3,5,5,5,5,5,5,1,5,5,5,4,4,4,4,4,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,1,0,29,1,2,47,1,1,4,4,3,3,3,4,3,4,2,4,3,4,2,4,2,4,1,5,4,4,5,5,5,5,2,473,2,2,2,2,1,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,6,NA,NA,4,4,4,5,5,5,4,2,4,3,3,5,4,4,4,4,2,3,3,3,4,4,4,4,4,3,2,4,3,4,2,5,5,2,5,4
2047_490_72,Lieutenant,D4Post28Chardon,Staff Lieutenant,District 4 Headquarters,3185_565_154,72,2,2,48,1,0,21,2,4,5,5,4,4,4,4,4,4,2,4,2,4,2,4,2,4,2,4,3,4,4,4,4,4,2,473,5,3,3,4,3,4,2,3,3,4,2,4,4,4,4,4,3,4,3,4,4,2,5,5,5,5,0,3,4,4,4,4,4,4,4,5,1,4,4,4,4,4,4,4,3,3,3,3,3,5,5,5,5,5,3,3,2,4,4,2,5,5,2,4,5,154,1,1,32,1,5,52,1,1,5,5,5,5,1,4,2,4,2,4,2,4,2,4,4,4,2,4,2,2,4,1,2,1,2,473,1,1,1,1,2,4,4,3,2,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,0,2,4,4,4,4,4,4,4,1,4,3,3,4,4,4,4,4,2,4,4,3,4,5,4,5,4,4,4,4,4,3,3,2,2,2,4,3
2062_432_73,Lieutenant,D4Post4Ashtabula,Staff Lieutenant,District 4 Headquarters,3183_565_154,73,NA,NA,NA,NA,NA,NA,4,1,5,5,4,3,4,4,1,4,2,4,4,4,2,4,3,4,2,2,2,2,4,2,2,2,2,473,2,2,2,3,2,3,3,4,3,2,3,4,4,4,5,5,5,4,5,4,3,2,2,2,2,2,0,1,NA,2,3,2,3,2,3,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,5,5,4,3,4,2,5,5,2,5,4,154,1,0,27,2,5,53,1,1,5,5,1,3,5,4,3,5,2,5,4,4,2,5,2,5,2,3,2,3,4,4,5,4,2,473,2,2,3,4,2,2,4,4,3,2,4,5,4,5,5,5,5,5,4,5,4,3,4,5,4,5,5,6,7,3,5,5,5,4,4,4,2,4,3,2,5,5,5,5,4,3,4,4,3,3,5,4,5,2,2,3,3,3,3,3,3,4,3,3,2
2079_432_74,Lieutenant,D4Post50Canfield,Staff Lieutenant,District 4 Headquarters,3183_565_154,74,1,4,40,1,1,19,3,2,4,4,3,3,4,4,2,3,4,4,4,4,3,4,3,4,2,4,3,2,4,4,4,3,2,473,4,4,2,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,2,1,3,3,2,3,3,3,4,1,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,3,4,3,4,2,2,3,2,4,4,154,1,0,27,2,5,53,1,1,5,5,1,3,5,4,3,5,2,5,4,4,2,5,2,5,2,3,2,3,4,4,5,4,2,473,2,2,3,4,2,2,4,4,3,2,4,5,4,5,5,5,5,5,4,5,4,3,4,5,4,5,5,6,7,3,5,5,5,4,4,4,2,4,3,2,5,5,5,5,4,3,4,4,3,3,5,4,5,2,2,3,3,3,3,3,3,4,3,3,2
2101_490_75,Lieutenant,D4Post67Ravenna,Staff Lieutenant,District 4 Headquarters,3185_565_154,75,2,2,48,NA,1,20,3,5,5,5,3,3,3,4,4,4,4,4,4,4,2,4,2,4,2,5,5,5,5,5,5,5,2,473,1,1,2,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,3,3,3,3,4,3,4,3,4,4,4,4,4,4,5,1,5,5,5,4,4,4,4,4,2,4,4,3,3,4,3,4,4,4,4,4,2,2,2,5,5,5,5,5,154,1,1,32,1,5,52,1,1,5,5,5,5,1,4,2,4,2,4,2,4,2,4,4,4,2,4,2,2,4,1,2,1,2,473,1,1,1,1,2,4,4,3,2,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,0,2,4,4,4,4,4,4,4,1,4,3,3,4,4,4,4,4,2,4,4,3,4,5,4,5,4,4,4,4,4,3,3,2,2,2,4,3
2136_432_76,Lieutenant,D4Post78Warren,Staff Lieutenant,District 4 Headquarters,3183_565_154,76,1,4,42,1,1,18,2,1,4,4,3,2,3,4,4,4,3,4,2,4,2,4,2,4,2,4,3,4,4,4,4,3,2,473,2,4,2,3,2,3,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4,2,2,3,3,3,4,1,1,2,2,2,3,3,2,4,2,4,4,4,3,3,3,3,3,2,3,4,3,4,4,4,4,4,4,4,2,4,3,2,3,4,2,4,3,154,1,0,27,2,5,53,1,1,5,5,1,3,5,4,3,5,2,5,4,4,2,5,2,5,2,3,2,3,4,4,5,4,2,473,2,2,3,4,2,2,4,4,3,2,4,5,4,5,5,5,5,5,4,5,4,3,4,5,4,5,5,6,7,3,5,5,5,4,4,4,2,4,3,2,5,5,5,5,4,3,4,4,3,3,5,4,5,2,2,3,3,3,3,3,3,4,3,3,2
2154_490_77,Lieutenant,D4Post91Hiram,Staff Lieutenant,District 4 Headquarters,3185_565_154,77,2,2,44,1,1,22,2,1,4,3,2,2,4,4,1,4,1,5,2,5,1,4,3,5,1,4,4,4,4,4,5,4,2,473,2,4,4,4,3,3,3,4,4,4,3,4,4,5,4,3,4,4,4,4,3,2,3,4,4,4,1,7,7,3,4,3,4,3,4,5,1,5,4,4,4,4,4,4,4,2,4,4,3,5,5,5,5,5,3,1,4,3,4,2,4,4,2,2,2,154,1,1,32,1,5,52,1,1,5,5,5,5,1,4,2,4,2,4,2,4,2,4,4,4,2,4,2,2,4,1,2,1,2,473,1,1,1,1,2,4,4,3,2,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,0,2,4,4,4,4,4,4,4,1,4,3,3,4,4,4,4,4,2,4,4,3,4,5,4,5,4,4,4,4,4,3,3,2,2,2,4,3
2188_496_81,Lieutenant,D5CommercialEnforcement,Staff Lieutenant,Licensing Commercial Std,3369_306_169,81,1,4,47,1,1,22,3,2,4,4,4,2,2,4,4,4,2,4,4,4,1,2,2,4,2,4,3,4,5,4,4,4,2,474,2,2,4,4,3,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,3,4,3,4,4,2,2,1,3,4,4,4,4,4,5,4,4,4,3,4,4,4,4,3,1,4,3,3,2,3,3,3,3,3,1,4,3,2,4,2,3,5,3,3,169,1,0,29,1,2,47,1,1,4,4,3,3,3,4,3,4,2,4,3,4,2,4,2,4,1,5,4,4,5,5,5,5,2,473,2,2,2,2,1,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,6,NA,NA,4,4,4,5,5,5,4,2,4,3,3,5,4,4,4,4,2,3,3,3,4,4,4,4,4,3,2,4,3,4,2,5,5,2,5,4
2201_581_82,Lieutenant,D5CriminalPatrol,Staff Lieutenant,Criminal Patrol,1272_458_18,82,1,2,48,1,1,25,3,1,5,4,3,2,4,4,2,4,2,4,4,4,2,3,2,4,2,5,3,5,5,5,5,5,2,473,3,4,2,4,3,3,3,3,3,2,2,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,5,7,5,3,3,4,4,3,3,4,2,4,4,4,5,4,4,4,4,2,4,4,4,5,5,5,5,4,3,3,4,3,2,4,4,4,2,4,4,18,1,1,34,2,3,53,2,2,4,4,3,2,4,4,2,4,2,4,3,4,2,3,3,4,2,4,3,4,4,3,4,3,2,473,4,2,2,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,0,4,0,2,3,2,3,2,3,5,1,4,2,4,3,3,3,3,4,2,4,4,4,4,4,3,3,3,1,1,4,3,3,3,4,4,3,4,3
2230_489_87,Lieutenant,D5Post12Springfield,Staff Lieutenant,District 5 Headquarters,3190_578_155,87,2,3,44,1,1,45,4,1,4,4,4,4,2,4,1,4,2,4,2,4,2,5,2,5,1,5,4,4,5,5,5,4,2,474,3,5,2,4,2,4,4,5,4,5,4,5,3,4,5,5,5,4,4,5,3,4,4,4,4,4,NA,1,4,4,5,4,5,5,4,5,1,5,4,4,4,4,4,4,4,2,4,3,3,2,5,4,5,2,5,5,4,2,4,2,2,3,5,3,4,155,NA,NA,NA,NA,NA,NA,3,2,3,4,3,3,3,4,2,4,4,4,4,4,1,4,3,5,2,3,2,3,5,4,3,3,2,473,2,2,2,2,2,5,4,4,4,5,5,5,4,3,4,4,2,5,3,4,4,4,4,5,5,5,4,2,2,5,5,5,5,5,4,4,1,4,3,3,5,5,5,5,2,3,3,3,3,4,4,4,3,3,3,3,4,2,4,3,1,3,2,4,4
